n,partie_imaginaire,T_MAX,methode,n_workers,turing_complet,calcule_le
174,357.15130225203967,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
175,357.95268510163226,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
176,359.74375495311443,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
177,361.28936169580464,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
178,363.33133057897385,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
179,364.736024114089,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
180,366.2127102883313,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
181,367.9935754817403,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
182,368.96843809573437,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
183,370.050919212106,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
184,373.06192837211285,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
185,373.86487391090856,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
186,375.82591276673935,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
187,376.32409223066804,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
188,378.4366802499655,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
189,379.87297534653237,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
190,381.48446861718656,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
191,383.4435294495365,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
192,384.95611681486366,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
193,385.86130084597426,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
194,387.222890222388,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
195,388.8461283542323,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
196,391.45608356363806,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
197,392.2450833395191,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
198,393.427743844434,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
199,395.58287001099376,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
200,396.3818542225922,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
201,397.9187362096144,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
202,399.9851198761949,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
203,401.8392286005334,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
204,402.8619177638861,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
205,404.236441800208,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
206,405.13438745990993,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
207,407.5814603868962,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
208,408.9472455023511,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
209,410.51386919336665,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
210,411.9722678042788,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
211,413.26273607018504,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
212,415.01880975515513,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
213,415.4552149962946,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
214,418.3877057895348,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
215,419.8613648181523,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
216,420.64382762504175,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
217,422.07671005882673,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
218,423.716579627482,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
219,425.06988249446135,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
220,427.2088250840746,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
221,428.12791407661666,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
222,430.32874543093885,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
223,431.3013069307036,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
224,432.1386417345886,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
225,433.88921848092724,1000.0,RS-detection + Illinois-affinage,4,False,20260510_204344
