n,partie_imaginaire,sauvegarde_le
289,527.9036416012724,2026-04-25T17:52:09.588267
290,528.4062138522926,2026-04-25T17:52:09.588267
291,529.8062263187069,2026-04-25T17:52:09.588267
292,530.866917883961,2026-04-25T17:52:09.588267
293,532.6881830282938,2026-04-25T17:52:09.588267
294,533.7796307537687,2026-04-25T17:52:09.588267
295,535.6643140758732,2026-04-25T17:52:09.588267
296,537.0697590831222,2026-04-25T17:52:09.588267
297,538.428526176248,2026-04-25T17:52:09.588267
298,540.2131663762281,2026-04-25T17:52:09.588267
299,540.631390247295,2026-04-25T17:52:09.588267
300,541.8474371212012,2026-04-25T17:52:09.588267
301,544.3238901010053,2026-04-25T17:52:09.588267
302,545.6368332489347,2026-04-25T17:52:09.588267
303,547.0109120581222,2026-04-25T17:52:09.588267
304,547.9316133644893,2026-04-25T17:52:09.588267
305,549.4975675626613,2026-04-25T17:52:09.588267
306,550.9700100394839,2026-04-25T17:52:09.588267
307,552.0495722005649,2026-04-25T17:52:09.588267
308,553.7649721191588,2026-04-25T17:52:09.588267
309,555.7920205616825,2026-04-25T17:52:09.588267
310,556.8994764068555,2026-04-25T17:52:09.588267
311,557.5646591720584,2026-04-25T17:52:09.588267
312,559.3162370286822,2026-04-25T17:52:09.588267
313,560.2408074972956,2026-04-25T17:52:09.588267
314,562.5592076160459,2026-04-25T17:52:09.588267
315,564.160879110786,2026-04-25T17:52:09.588267
316,564.5060559381498,2026-04-25T17:52:09.588267
317,566.6987876828078,2026-04-25T17:52:09.588267
318,567.731757901177,2026-04-25T17:52:09.588267
319,568.9239551796294,2026-04-25T17:52:09.588267
320,570.0511147824635,2026-04-25T17:52:09.588267
321,572.4199841324528,2026-04-25T17:52:09.588267
322,573.6146105267582,2026-04-25T17:52:09.588267
323,575.0938860144948,2026-04-25T17:52:09.588267
324,575.8072471409288,2026-04-25T17:52:09.588267
325,577.0390034720982,2026-04-25T17:52:09.588267
326,579.0988346720366,2026-04-25T17:52:09.588267
327,580.1369593623846,2026-04-25T17:52:09.588267
328,581.9465762659016,2026-04-25T17:52:09.588267
329,583.2360882191673,2026-04-25T17:52:09.588267
330,584.5617059034656,2026-04-25T17:52:09.588267
331,585.9845632049884,2026-04-25T17:52:09.588267
332,586.7427718912502,2026-04-25T17:52:09.588267
333,588.139663266248,2026-04-25T17:52:09.588267
334,590.6603975167652,2026-04-25T17:52:09.588267
335,591.7258580650481,2026-04-25T17:52:09.588267
336,592.5713583002256,2026-04-25T17:52:09.588267
337,593.974714682231,2026-04-25T17:52:09.588267
338,595.728153697389,2026-04-25T17:52:09.588267
339,596.3627683283936,2026-04-25T17:52:09.588267
340,598.4930773461648,2026-04-25T17:52:09.588267
341,599.5456403643649,2026-04-25T17:52:09.588267
342,601.6021367359327,2026-04-25T17:52:09.588267
343,602.5791678863873,2026-04-25T17:52:09.588267
344,603.6256189035793,2026-04-25T17:52:09.588267
345,604.6162184937533,2026-04-25T17:52:09.588267
346,606.383460422109,2026-04-25T17:52:09.588267
347,608.4132173111873,2026-04-25T17:52:09.588267
