n,partie_imaginaire,T_MAX,methode,precision_dps,calcule_le
156,329.033071680481,10000.0,Hardy-Z + Illinois,50,20260424_205325
157,329.9532397282339,10000.0,Hardy-Z + Illinois,50,20260424_205325
158,331.47446758266346,10000.0,Hardy-Z + Illinois,50,20260424_205325
159,333.64537852486984,10000.0,Hardy-Z + Illinois,50,20260424_205325
160,334.21135483324434,10000.0,Hardy-Z + Illinois,50,20260424_205325
161,336.84185042839067,10000.0,Hardy-Z + Illinois,50,20260424_205325
162,338.3399928508066,10000.0,Hardy-Z + Illinois,50,20260424_205325
163,339.85821672536355,10000.0,Hardy-Z + Illinois,50,20260424_205325
164,341.0422611110465,10000.0,Hardy-Z + Illinois,50,20260424_205325
165,342.0548775103636,10000.0,Hardy-Z + Illinois,50,20260424_205325
166,344.6617029402524,10000.0,Hardy-Z + Illinois,50,20260424_205325
167,346.34787056600993,10000.0,Hardy-Z + Illinois,50,20260424_205325
168,347.27267758442053,10000.0,Hardy-Z + Illinois,50,20260424_205325
169,349.31626087069617,10000.0,Hardy-Z + Illinois,50,20260424_205325
170,350.4084193491921,10000.0,Hardy-Z + Illinois,50,20260424_205325
171,351.8786490253593,10000.0,Hardy-Z + Illinois,50,20260424_205325
172,353.4889004887188,10000.0,Hardy-Z + Illinois,50,20260424_205325
173,356.0175749772649,10000.0,Hardy-Z + Illinois,50,20260424_205325
174,357.1513022520396,10000.0,Hardy-Z + Illinois,50,20260424_205325
175,357.9526851016323,10000.0,Hardy-Z + Illinois,50,20260424_205325
176,359.74375495311443,10000.0,Hardy-Z + Illinois,50,20260424_205325
177,361.28936169580464,10000.0,Hardy-Z + Illinois,50,20260424_205325
178,363.3313305789738,10000.0,Hardy-Z + Illinois,50,20260424_205325
179,364.736024114089,10000.0,Hardy-Z + Illinois,50,20260424_205325
180,366.2127102883313,10000.0,Hardy-Z + Illinois,50,20260424_205325
181,367.99357548174027,10000.0,Hardy-Z + Illinois,50,20260424_205325
182,368.96843809573437,10000.0,Hardy-Z + Illinois,50,20260424_205325
183,370.050919212106,10000.0,Hardy-Z + Illinois,50,20260424_205325
184,373.06192837211285,10000.0,Hardy-Z + Illinois,50,20260424_205325
185,373.86487391090856,10000.0,Hardy-Z + Illinois,50,20260424_205325
186,375.82591276673935,10000.0,Hardy-Z + Illinois,50,20260424_205325
187,376.3240922306681,10000.0,Hardy-Z + Illinois,50,20260424_205325
188,378.4366802499655,10000.0,Hardy-Z + Illinois,50,20260424_205325
189,379.87297534653237,10000.0,Hardy-Z + Illinois,50,20260424_205325
190,381.4844686171865,10000.0,Hardy-Z + Illinois,50,20260424_205325
191,383.44352944953647,10000.0,Hardy-Z + Illinois,50,20260424_205325
192,384.9561168148637,10000.0,Hardy-Z + Illinois,50,20260424_205325
193,385.8613008459742,10000.0,Hardy-Z + Illinois,50,20260424_205325
194,387.222890222388,10000.0,Hardy-Z + Illinois,50,20260424_205325
195,388.84612835423223,10000.0,Hardy-Z + Illinois,50,20260424_205325
196,391.456083563638,10000.0,Hardy-Z + Illinois,50,20260424_205325
197,392.24508333951906,10000.0,Hardy-Z + Illinois,50,20260424_205325
198,393.427743844434,10000.0,Hardy-Z + Illinois,50,20260424_205325
199,395.5828700109937,10000.0,Hardy-Z + Illinois,50,20260424_205325
200,396.3818542225922,10000.0,Hardy-Z + Illinois,50,20260424_205325
201,397.9187362096142,10000.0,Hardy-Z + Illinois,50,20260424_205325
202,399.9851198761949,10000.0,Hardy-Z + Illinois,50,20260424_205325
203,401.83922860053326,10000.0,Hardy-Z + Illinois,50,20260424_205325
204,402.8619177638861,10000.0,Hardy-Z + Illinois,50,20260424_205325
205,404.23644180020796,10000.0,Hardy-Z + Illinois,50,20260424_205325
206,405.1343874599099,10000.0,Hardy-Z + Illinois,50,20260424_205325
207,407.5814603868962,10000.0,Hardy-Z + Illinois,50,20260424_205325
208,408.94724550235117,10000.0,Hardy-Z + Illinois,50,20260424_205325
209,410.5138691933666,10000.0,Hardy-Z + Illinois,50,20260424_205325
210,411.9722678042787,10000.0,Hardy-Z + Illinois,50,20260424_205325
211,413.26273607018504,10000.0,Hardy-Z + Illinois,50,20260424_205325
212,415.01880975515513,10000.0,Hardy-Z + Illinois,50,20260424_205325
213,415.4552149962946,10000.0,Hardy-Z + Illinois,50,20260424_205325
214,418.3877057895348,10000.0,Hardy-Z + Illinois,50,20260424_205325
215,419.8613648181523,10000.0,Hardy-Z + Illinois,50,20260424_205325
216,420.64382762504175,10000.0,Hardy-Z + Illinois,50,20260424_205325
217,422.07671005882673,10000.0,Hardy-Z + Illinois,50,20260424_205325
218,423.71657962748185,10000.0,Hardy-Z + Illinois,50,20260424_205325
