n,imaginary_part,computed_at
189,404.23644180020796,2026-04-17T19:48:13.931859
190,405.1343874598158,2026-04-17T19:48:13.931859
191,408.9472455023101,2026-04-17T19:48:13.931859
192,410.5138691934074,2026-04-17T19:48:13.931859
193,411.9722678041337,2026-04-17T19:48:13.931859
194,413.26273607036785,2026-04-17T19:48:13.931859
195,415.0188097549861,2026-04-17T19:48:13.931859
196,415.4552149964756,2026-04-17T19:48:13.931859
197,419.86136481820506,2026-04-17T19:48:13.931859
198,420.64382762520495,2026-04-17T19:48:13.931859
199,422.0767100589625,2026-04-17T19:48:13.931859
200,423.7165796274598,2026-04-17T19:48:13.931859
