n,partie_imaginaire,sauvegarde_le
508,821.7134541333794,2026-04-25T18:01:52.452685
509,822.1977574934043,2026-04-25T18:01:52.452685
510,824.5262938716297,2026-04-25T18:01:52.452685
511,826.0392873765744,2026-04-25T18:01:52.452685
512,826.9058109540808,2026-04-25T18:01:52.452685
513,828.3401743004899,2026-04-25T18:01:52.452685
514,829.4370109683094,2026-04-25T18:01:52.452685
515,830.8958840533174,2026-04-25T18:01:52.452685
516,831.7997776590706,2026-04-25T18:01:52.452685
517,833.0036409091542,2026-04-25T18:01:52.452685
518,834.6519151478257,2026-04-25T18:01:52.452685
519,836.6935761875918,2026-04-25T18:01:52.452685
520,837.3473350595315,2026-04-25T18:01:52.452685
521,838.2490219927322,2026-04-25T18:01:52.452685
522,839.4653948102824,2026-04-25T18:01:52.452685
523,841.0363898290135,2026-04-25T18:01:52.452685
524,842.0413542065263,2026-04-25T18:01:52.452685
525,844.1661966073507,2026-04-25T18:01:52.452685
526,844.8059939757637,2026-04-25T18:01:52.452685
527,846.1947699276941,2026-04-25T18:01:52.452685
528,847.9717176395119,2026-04-25T18:01:52.452685
529,848.4892811809435,2026-04-25T18:01:52.452685
530,849.8622743486977,2026-04-25T18:01:52.452685
531,850.6454484660042,2026-04-25T18:01:52.452685
532,853.1631125833892,2026-04-25T18:01:52.452685
533,854.0955117198691,2026-04-25T18:01:52.452685
534,855.286710244405,2026-04-25T18:01:52.452685
535,856.4841174907916,2026-04-25T18:01:52.452685
536,857.3107406026038,2026-04-25T18:01:52.452685
537,858.9040264664758,2026-04-25T18:01:52.452685
538,860.4106708960147,2026-04-25T18:01:52.452685
