n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
108,323.46696955751196,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
109,324.86286605173945,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
110,327.44390126190547,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
111,331.4744675826634,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
112,336.8418504283907,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
113,338.33999285080665,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
114,339.85821672536366,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
115,344.6617029402524,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
116,349.3162608706961,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
117,350.408419349192,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
118,351.87864902535927,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
119,353.48890048871885,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
120,357.9526851016323,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
121,359.74375495311443,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
122,361.28936169580464,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
123,363.3313305789738,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
124,364.736024114089,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
125,366.2127102883313,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
126,367.9935754817403,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
127,378.4366802499655,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
128,379.87297534653237,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
129,381.4844686171865,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
130,383.4435294495366,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
131,384.9561168148637,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
