n,partie_imaginaire,T_MAX,methode,step_adaptatif,n_workers,turing_complet,calcule_le
96,229.33741330552536,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
97,231.25018870049922,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
98,231.98723525318024,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
99,233.6934041789083,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
100,236.5242296658164,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
101,237.76982048092518,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
102,239.55547757332764,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
103,241.04915779621658,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
104,242.8232719342226,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
105,244.07089849707816,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
106,247.1369900748975,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
107,248.10199006014804,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
108,249.57368964470714,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
109,251.014947795016,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
110,253.06998674799948,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
111,255.306256454914,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
112,256.38071369443446,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
113,258.6104394915314,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
114,259.874406989678,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
115,260.80508450459666,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
116,263.57389390487015,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
117,265.55785183887633,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
118,266.61497378150096,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
119,267.92191508282406,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
120,269.9704490239976,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
121,271.494055641645,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
122,273.4596091884033,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
123,275.5874926493438,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
124,276.45204950313297,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
125,278.25074352984194,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
126,279.22925092774517,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
127,282.4651147650522,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
128,283.2111857332339,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
129,284.83596398090475,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
130,286.6674453630029,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
131,287.9119205014222,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
132,289.5798549292188,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
133,291.8462913290674,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
134,293.5584341393563,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
135,294.9653696192656,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
136,295.57325487895827,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
137,297.97927706194344,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
138,299.8403260537213,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
139,301.6493254621942,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
140,302.6967495896069,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
141,304.8643713408573,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
142,305.7289126020368,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
143,307.21949612817,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
144,310.1094631467019,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
145,311.165141530356,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
146,312.4278011806009,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
147,313.9852857311589,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
148,315.47561608947575,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
149,317.7348059423702,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
150,318.8531042563166,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
151,321.1601343091137,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
152,322.1445586724829,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
153,323.4669695575121,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
154,324.8628660517396,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
155,327.44390126190547,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
156,329.03307168048093,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
157,329.9532397282339,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
158,331.47446758266346,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
159,333.64537852486984,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
160,334.21135483324434,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
161,336.84185042839067,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
162,338.3399928508066,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
163,339.85821672536355,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
164,341.04226111104657,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
165,342.05487751036355,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
166,344.6617029402523,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
167,346.34787056601,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
168,347.2726775844205,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
169,349.31626087069617,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
170,350.4084193491921,1000.0,RS-detection + Illinois-affinage,0.413,4,False,20260511_210552
