n,partie_imaginaire,T_MAX,version,methode_affinage,pas_balayage,calcule_le
128,283.2111857332339,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
129,284.83596398090475,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
130,286.6674453630029,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
131,287.9119205014222,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
132,289.5798549292188,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
133,291.8462913290674,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
134,293.5584341393563,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
135,294.9653696192655,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
136,295.57325487895827,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
137,297.97927706194344,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
138,299.8403260537213,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
139,301.64932546219416,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
140,302.6967495896069,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
141,304.8643713408573,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
142,305.7289126020368,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
143,307.2194961281701,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
144,310.1094631467019,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
145,311.165141530356,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
146,312.4278011806009,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
147,313.9852857311589,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
148,315.47561608947575,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
149,317.7348059423702,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
150,318.8531042563166,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
151,321.1601343091136,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
152,322.14455867248296,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
153,323.4669695575121,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
154,324.8628660517396,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
155,327.44390126190547,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
156,329.03307168048093,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
157,329.9532397282339,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
158,331.4744675826634,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
159,333.64537852486984,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
160,334.2113548332444,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
161,336.84185042839067,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
162,338.3399928508066,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
163,339.85821672536355,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
164,341.04226111104657,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
165,342.0548775103636,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
166,344.6617029402523,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
167,346.34787056600993,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
168,347.2726775844205,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
169,349.31626087069617,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
170,350.4084193491921,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
171,351.87864902535927,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
172,353.4889004887188,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
173,356.0175749772649,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
174,357.1513022520396,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
175,357.95268510163226,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
176,359.74375495311443,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
177,361.28936169580464,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
178,363.33133057897385,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
179,364.736024114089,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
180,366.2127102883313,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
181,367.9935754817403,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
182,368.96843809573437,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
183,370.050919212106,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
184,373.06192837211285,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
185,373.86487391090856,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
186,375.82591276673935,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
187,376.32409223066804,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
188,378.4366802499655,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
189,379.87297534653237,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
190,381.4844686171865,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
191,383.44352944953647,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
192,384.95611681486366,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
193,385.86130084597426,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
194,387.222890222388,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
195,388.84612835423223,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
196,391.45608356363806,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
197,392.2450833395191,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
198,393.427743844434,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
199,395.5828700109937,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
200,396.3818542225922,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
201,397.9187362096142,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
202,399.9851198761949,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
203,401.8392286005332,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
204,402.86191776388614,650.0,v4,illinois_mpfr_C_hybride,0.05,20260527_232857
